Remembering me                                                               That we truly trust
记住我                                                                                那个我们相信的人
Discover and see                                                            There is a rainbow for you and me
探索和发现                                                                             还有那给你我的那一抹彩虹
All over the world                                                         A beautiful sunrise eternally
这整个世界                                                                             以及那永远漂亮的日出
She's known as a girl                                                     God is a girl
众所周知她是个女孩                                                                       上帝是女孩
To those who a free                                                        Wherever you are
对那些自由的人                                                                          不管你在哪
The mind shall be key                                                     Do you believe it
思想才是关键                                                                           你相信吗
Forgotten as the past                                                     Can you recieve it
忘记过去                                                                              你会接受吗
'Cause history will last                                                God is a girl
因为历史是过去                                                                          上帝是女孩
God is a girl                                                                 Whatever you say
上帝是女孩                                                                             不管你说什么
Wherever you are                                                            Do you believe it
不管你在哪                                                                             你相信吗
Do you believe it                                                           Can you recieve it
你相信吗                                                                              你会接受吗
Can you recieve it                                                         God is a girl
你会接受吗                                                                             上帝是女孩
God is a girl                                                                 However you live,
上帝是女孩                                                                             不管你的生活状态如何
Whatever you say                                                            Do you believe it
不管你说什么                                                                           你相信吗
Do you believe it                                                           Can you recieve it
你相信吗                                                                              你会接受吗
Can you recieve it                                                         God is a girl
你会接受吗                                                                             上帝是女孩
God is a girl                                                                 She's only a girl,
上帝是女孩                                                                             她只是个女孩
However you live                                                            Do you believe it
不管你的生活状态如何                                                                     你相信吗
Do you believe it                                                           Can you recieve it
你相信吗                                                                              你会接受吗
Can you recieve it                                                         God is a girl
你会接受吗                                                                             上帝是女孩
God is a girl                                                                 Wherever you are,
上帝是女孩                                                                             不管你在哪
She's only a girl                                                           Do you believe it
她只是个女孩                                                                           你相信吗
Do you believe it                                                           Can you recieve it
你相信吗                                                                              你会接受吗
Can you recieve it                                                         God is a girl
你会接受吗                                                                             上帝是女孩
                                                                                    Whatever you say,
                                                                                    不管你说什么
She wants to shine                                                         Do you believe it
她想与众不同                                                                           你相信吗
Forever in time                                                              Can you recieve it
希望从某天开始能永远这样夺人眼球                                                            你会接受吗
She is so driven                                                            God is a girl
她是如此的有紧迫感                                                                       上帝是女孩
she's always mine                                                           However you live,
她一直是我的                                                                           不管你的生活状态如何
Cleanly and free                                                            Do you believe it
干干净净的自由的人                                                                       你相信吗
She wants you to be                                                        Can you recieve it
她想让你成为这样的人                                                                     你会接受吗
A part of the future                                                      God is a girl
未来的某刻                                                                             上帝是女孩
A girl like me                                                               She's only a girl
一个像我一样的女孩                                                                       她只是个女孩
There is a sky,                                                              Do you believe it
天空                                                                                 你相信吗
Illuminating us  someone is out there                             Can you recieve it
告诉我们有个人在那儿                                                                     你会接受吗
